? Hugging Face token is set.
wandb token is set
This is the LORA Path : /hkfs/work/workspace/scratch/st_st191428-LiverLLM/Liver LLM/llama3_medical_finetuned/checkpoint_7000
{'loss': 0.5499, 'grad_norm': 0.0, 'learning_rate': 0.00019569693607052587, 'num_tokens': 2867200.0, 'mean_token_accuracy': 0.1695814948529005, 'epoch': 0.06}
{'loss': 0.5744, 'grad_norm': 0.0, 'learning_rate': 0.00019557363910979595, 'num_tokens': 2949120.0, 'mean_token_accuracy': 0.1776970498263836, 'epoch': 0.07}
{'loss': 0.5268, 'grad_norm': 0.0, 'learning_rate': 0.00019545034214906603, 'num_tokens': 3031040.0, 'mean_token_accuracy': 0.1799071840941906, 'epoch': 0.07}
{'loss': 0.5055, 'grad_norm': 0.0, 'learning_rate': 0.00019532704518833611, 'num_tokens': 3112960.0, 'mean_token_accuracy': 0.1498658971861005, 'epoch': 0.07}
{'loss': 0.4767, 'grad_norm': 0.0, 'learning_rate': 0.0001952037482276062, 'num_tokens': 3194880.0, 'mean_token_accuracy': 0.15635382421314717, 'epoch': 0.07}
{'loss': 0.6128, 'grad_norm': 0.0, 'learning_rate': 0.00019508045126687628, 'num_tokens': 3276800.0, 'mean_token_accuracy': 0.1973007380962372, 'epoch': 0.07}
{'loss': 0.5909, 'grad_norm': 0.0, 'learning_rate': 0.00019495715430614636, 'num_tokens': 3358720.0, 'mean_token_accuracy': 0.19062695764005183, 'epoch': 0.08}
{'loss': 0.5144, 'grad_norm': 0.0, 'learning_rate': 0.00019483385734541645, 'num_tokens': 3440640.0, 'mean_token_accuracy': 0.1685819648206234, 'epoch': 0.08}
{'loss': 0.5441, 'grad_norm': 0.0, 'learning_rate': 0.00019471056038468653, 'num_tokens': 3522560.0, 'mean_token_accuracy': 0.1693597424775362, 'epoch': 0.08}
{'loss': 0.5619, 'grad_norm': 0.0, 'learning_rate': 0.0001945872634239566, 'num_tokens': 3604480.0, 'mean_token_accuracy': 0.18611201010644435, 'epoch': 0.08}
{'loss': 0.6101, 'grad_norm': 0.0, 'learning_rate': 0.0001944639664632267, 'num_tokens': 3686400.0, 'mean_token_accuracy': 0.18970875069499016, 'epoch': 0.08}
{'loss': 0.631, 'grad_norm': 0.0, 'learning_rate': 0.00019434066950249678, 'num_tokens': 3768320.0, 'mean_token_accuracy': 0.19331586882472038, 'epoch': 0.09}
{'loss': 0.5471, 'grad_norm': 0.0, 'learning_rate': 0.00019421737254176686, 'num_tokens': 3850240.0, 'mean_token_accuracy': 0.1760156277567148, 'epoch': 0.09}
{'loss': 0.5604, 'grad_norm': 0.0, 'learning_rate': 0.00019409407558103694, 'num_tokens': 3932160.0, 'mean_token_accuracy': 0.1781621277332306, 'epoch': 0.09}
